x1;x2;x3
-0.651901168;-0.434761959;-1.086663127
-1.701996833;-1.135085368;-2.837082201
-0.101240299;-0.067518564;-0.168758863
0.905475707;0.603874347;1.509350053
-1.799795561;-1.200308701;-3.000104262
0.191473176;0.127696125;0.3191693
-1.709667242;-1.14020087;-2.849868112
-0.099069324;-0.06607071;-0.165140034
-1.261624314;-0.841394808;-2.103019123
0.33348732;0.222407334;0.555894654
-0.957788865;-0.63876272;-1.596551585
0.757614735;0.505263807;1.262878542
-1.562138019;-1.041811579;-2.603949598
0.634145093;0.422920185;1.057065278
0.699677652;0.466624761;1.166302413
0.796192211;0.530991663;1.327183874
-1.244580433;-0.830028007;-2.07460844
-0.457891257;-0.30537405;-0.763265306
-1.753011605;-1.169107829;-2.922119434
-0.127223116;-0.084846866;-0.212069982
-0.165046482;-0.110071795;-0.275118277
0.847765887;0.565386865;1.413152752
-1.371254115;-0.914508447;-2.285762562
-1.439721093;-0.960170027;-2.39989112
0.804120152;0.536278917;1.340399069
-0.734253563;-0.489683917;-1.22393748
-0.779404515;-0.519795715;-1.29920023
0.722765034;0.482022057;1.204787092
0.743748368;0.496016134;1.239764502
-0.803501691;-0.535866457;-1.339368148
0.21974225;0.146549164;0.366291414
-0.460691671;-0.307241685;-0.767933356
-0.169321387;-0.112922789;-0.282244176
0.066557079;0.044387842;0.110944921
-0.362567866;-0.241801555;-0.604369421
-1.630815867;-1.087613791;-2.718429658
-1.366627413;-0.911422836;-2.278050249
0.93800511;0.625568658;1.563573769
-0.622509888;-0.415160505;-1.037670393
-0.490534239;-0.327144109;-0.817678349
-1.977225133;-1.31863895;-3.295864083
0.995416402;0.663857047;1.659273449
